ma_don,ma_kh,san_pham,so_luong,don_gia
DH001,KH001,Túi xách,1,450000
DH002,KH002,Mũ lưỡi trai,1,250000
DH003,KH002,Quần jeans,4,450000
DH004,KH006,Giày sneaker,4,150000
DH005,KH007,Áo thun,3,450000
DH006,KH005,Áo thun,2,450000
DH007,KH001,Mũ lưỡi trai,4,150000
DH008,KH001,Giày sneaker,1,250000
DH009,KH003,Túi xách,3,150000
DH010,KH002,Giày sneaker,4,450000
DH011,KH005,Mũ lưỡi trai,1,250000
DH012,KH010,Mũ lưỡi trai,1,450000
DH013,KH006,Giày sneaker,2,150000
DH014,KH007,Mũ lưỡi trai,3,150000
DH015,KH004,Giày sneaker,3,450000
DH016,KH007,Quần jeans,2,320000
DH017,KH008,Giày sneaker,2,320000
DH018,KH001,Giày sneaker,3,150000
DH019,KH006,Mũ lưỡi trai,3,150000
DH020,KH008,Mũ lưỡi trai,4,320000
