ma_kh,thang,doanh_thu
KH003,T2,368246
KH003,T2,1854272
KH004,T2,218015
KH008,T2,1889250
KH006,T2,354079
KH008,T1,650929
KH001,T3,789944
KH008,T2,788105
KH004,T3,613758
KH001,T3,1083609
KH008,T2,1514466
KH004,T1,1117703
KH006,T2,545101
KH008,T1,136631
KH004,T3,1915153
KH003,T1,1221567
KH009,T1,1152590
KH003,T1,1421813
KH009,T3,1166646
KH002,T3,1970785
KH002,T1,1205534
KH002,T1,1230650
KH006,T2,1683593
KH003,T1,1903649
KH009,T2,1324665
KH004,T1,297392
KH001,T2,258823
KH004,T3,1123904
KH001,T1,1778728
KH005,T1,1541578
KH004,T1,1882005
KH008,T1,598863
KH008,T2,467654
KH007,T1,679036
KH003,T3,630089
KH001,T3,1298838
KH001,T1,1591481
KH003,T3,335362
KH006,T1,1592785
KH007,T1,1702456
