ma_don_hang,san_pham,khu_vuc,so_luong,don_gia,ghi_chu
T1-001,Mũ lưỡi trai,TP.HCM,3,250000,
T1-002,Túi xách,TP.HCM,7,150000,
T1-003,Giày sneaker,TP.HCM,4,250000,
T1-004,Túi xách,Cần Thơ,9,180000,
T1-005,Túi xách,Cần Thơ,3,250000,
T1-006,Quần jeans,Hà Nội,5,450000,
T1-007,Giày sneaker,Hà Nội,3,450000,
T1-008,Giày sneaker,Cần Thơ,7,450000,
T1-009,Giày sneaker,TP.HCM,5,450000,
T1-010,Túi xách,TP.HCM,9,180000,
T1-011,Mũ lưỡi trai,Hà Nội,7,320000,
T1-012,Giày sneaker,Cần Thơ,2,150000,
T1-013,Túi xách,Hà Nội,4,450000,
T1-014,Quần jeans,Hà Nội,9,250000,
T1-015,Mũ lưỡi trai,Đà Nẵng,2,450000,
